line_no,row_kind,source_table,asset_category,currency,description,date_time,fx_currency,quantity,proceeds_in_usd,basis_in_usd,realized_p_l_in_usd,code
267,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-01-06,GBP,-5.05,6.3226,-6.3226,0,O
268,Data,forex_p_l_details__01,Forex,USD,Stock 100 AT.,"2025-01-07, 07:51:26",GBP,-558,696.2724,-696.2724,0,O
269,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-02-05,GBP,-7.23,9.041115,-9.041115,0,O
270,Data,forex_p_l_details__01,Forex,USD,Stock -135 AT.,"2025-02-24, 08:57:30",GBP,716.55,930.440175,-904.644375,25.7958,C
271,Data,forex_p_l_details__01,Forex,USD,Stock -165 AT.,"2025-02-24, 08:57:31",GBP,879.45,1110.212772,-1110.305625,-0.092853,C;O
272,Data,forex_p_l_details__01,Forex,USD,Future 1 MHIG5,"2025-02-24, 20:14:00",HKD,2363,303.97632,-303.97632,0,O
273,Data,forex_p_l_details__01,Forex,USD,MHIG5 margin,"2025-02-26, 07:00:00",HKD,7390,950.5757,-950.5757,0,O
274,Data,forex_p_l_details__01,Forex,USD,Net cash activity,"2025-02-26, 17:15:00",HKD,-0.05,0.006431,-0.006432,-0.000001,C
275,Data,forex_p_l_details__01,Forex,USD,Net cash activity,"2025-02-26, 17:15:00",HKD,0.05,0.006431,-0.006431,0,O
276,Data,forex_p_l_details__01,Forex,USD,Future -1 MHIG5,"2025-02-27, 07:00:00",HKD,-17,2.18569,-2.18688,-0.00119,C
277,Data,forex_p_l_details__01,Forex,USD,MHIG5 margin,"2025-02-27, 07:00:00",HKD,-600,77.142,-77.184,-0.042,C
278,Data,forex_p_l_details__01,Forex,USD,Forex 0.0065 USD.HKD,"2025-02-28, 20:26:00",HKD,-0.050561,0.0065,-0.006503,-0.000003,C;O
279,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-03-05,GBP,-6.32,8.150272,-7.979,0.171272,C
280,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-03-05,HKD,-6.72,0.864797,-0.864797,0,O
281,Data,forex_p_l_details__01,Forex,USD,Forex -0.8649 USD.HKD,"2025-03-07, 20:26:00",HKD,6.720576,0.864871,-0.8649,-0.000029,C;O
282,Data,forex_p_l_details__01,Forex,USD,Future 1 MHIJ5,"2025-03-12, 21:19:16",HKD,-1457,187.45762,-187.42848,0.02914,C
283,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-14, 07:00:00",HKD,5710,734.6486,-734.6486,0,O
284,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-17, 07:00:00",HKD,1310,168.6101,-168.6101,0,O
285,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-18, 07:00:00",HKD,6130,788.9923,-788.9923,0,O
286,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-19, 07:00:00",HKD,-690,88.7961,-88.757589,0.038511,C
287,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-20, 07:00:00",HKD,-5220,671.553,-671.4486,0.1044,C
288,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-21, 07:00:00",HKD,-6070,780.8448,-780.913131,-0.068331,C
289,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-24, 07:00:00",HKD,3680,473.3584,-473.3584,0,O
290,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-25, 07:00:00",HKD,-6310,811.5922,-812.089652,-0.497452,C
291,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-26, 07:00:00",HKD,1010,129.886,-129.886,0,O
292,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-27, 07:00:00",HKD,1570,201.9177,-201.9177,0,O
293,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-28, 07:00:00",HKD,-2330,299.5681,-299.8943,-0.3262,C
294,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-03-31, 07:00:00",HKD,-2680,344.4604,-344.745116,-0.284716,C
295,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-04-01, 07:00:00",HKD,910,116.9532,-116.9532,0,O
296,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-04-02, 07:00:00",HKD,-440,56.5356,-56.5972,-0.0616,C
297,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-04-03,HKD,-31.15,4.004644,-4.004644,0,C;O
298,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-04-03, 07:00:00",HKD,-4110,528.3816,-528.523884,-0.142284,C
299,Data,forex_p_l_details__01,Forex,USD,Forex -13.16 GBP.HKD,"2025-04-04, 07:09:59",GBP,-13.16,17.130333,-16.6145,0.515833,C
300,Data,forex_p_l_details__01,Forex,USD,Forex -13.16 GBP.HKD,"2025-04-04, 07:09:59",HKD,133.175252,17.128153,-17.130333,-0.00218,C;O
301,Data,forex_p_l_details__01,Forex,USD,Forex -2674.58 USD.HKD,"2025-04-06, 21:18:42",HKD,20788.841695,2674.63348,-2674.63348,0,O
302,Data,forex_p_l_details__01,Forex,USD,Future -1 MHIJ5,"2025-04-06, 21:45:44",HKD,8503,1094.67622,-1094.67622,0,O
303,Data,forex_p_l_details__01,Forex,USD,MHIJ5 margin,"2025-04-07, 07:00:00",HKD,-30180,3885.3732,-3885.340431,0.032769,C;O
304,Data,forex_p_l_details__01,Forex,USD,Net cash activity,"2025-04-09, 17:15:00",HKD,16562.2,2132.217628,-2134.03947,-1.821842,C
305,Data,forex_p_l_details__01,Forex,USD,Net cash activity,"2025-04-09, 17:15:00",HKD,-16562.2,2134.03947,-2130.842962,3.196508,C
306,Data,forex_p_l_details__01,Forex,USD,Net cash activity,"2025-04-10, 17:15:00",HKD,4965.85,639.303529,-640.048407,-0.744878,C;O
307,Data,forex_p_l_details__01,Forex,USD,Net cash activity,"2025-04-10, 17:15:00",HKD,-4965.85,640.048407,-639.040551,1.007856,C;O
308,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-05-05,HKD,-19.32,2.49286,-2.49286,0,O
309,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-06-04,HKD,-2.01,0.256154,-0.256154,0,O
310,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-07-03,HKD,-1.5,0.191085,-0.191085,0,O
311,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-08-05,HKD,-1.59,0.20255,-0.20255,0,O
312,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-09-04,HKD,-2.26,0.289709,-0.289709,0,O
313,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-10-03,HKD,-3.19,0.409979,-0.409979,0,O
314,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-11-05,HKD,-3.48,0.447598,-0.447598,0,O
315,Data,forex_p_l_details__01,Forex,USD,Net cash activity,2025-12-03,HKD,-2.82,0.362285,-0.362285,0,O
316,Data,forex_p_l_details__01,Total,,,,,,23722.831078,-23696.024548,26.80653,
