line_no,row_kind,asset_category,currency,symbol,date,ex_date,pay_date,quantity,tax,fee,gross_rate,gross_amount,net_amount,code
430,Data,Starting Dividend Accruals in USD,,,,,,,,,,,0.25,
431,Data,Stocks,USD,EQT,2025-05-06,2025-05-07,2025-06-02,40,0,0,0.1575,6.3,6.3,Po
432,Data,Stocks,USD,EQT,2025-06-02,2025-05-07,2025-06-02,40,0,0,0.1575,-6.3,-6.3,Re
433,Data,Stocks,USD,EQT,2025-08-05,2025-08-06,2025-09-02,40,0,0,0.1575,6.3,6.3,Po
434,Data,Stocks,USD,EQT,2025-09-02,2025-08-06,2025-09-02,40,0,0,0.1575,-6.3,-6.3,Re
435,Data,Stocks,USD,EQT,2025-11-04,2025-11-05,2025-12-01,40,0,0,0.165,6.6,6.6,Po
436,Data,Stocks,USD,EQT,2025-12-01,2025-11-05,2025-12-01,40,0,0,0.165,-6.6,-6.6,Re
437,Data,Stocks,USD,EQT,2026-02-16,2026-02-17,2026-03-02,40,0,0,0.165,6.6,6.6,Po
438,Data,Stocks,USD,EQT,2026-03-02,2026-02-17,2026-03-02,40,0,0,0.165,-6.6,-6.6,Re
439,Data,Stocks,USD,IGIC,2025-04-03,2025-04-04,2025-04-22,100,0,0,0.025,2.5,2.5,Po
440,Data,Stocks,USD,IGIC,2025-04-03,2025-04-04,2025-04-22,100,0,0,0.85,85,85,Po
441,Data,Stocks,USD,IGIC,2025-04-22,2025-04-04,2025-04-22,100,0,0,0.025,-2.51,-2.51,Re
442,Data,Stocks,USD,IGIC,2025-04-22,2025-04-04,2025-04-22,100,0,0,0.85,-85,-85,Re
443,Data,Stocks,USD,IGIC,2025-05-30,2025-06-02,2025-06-18,100,0,0,0.05,5,5,Po
444,Data,Stocks,USD,IGIC,2025-06-18,2025-06-02,2025-06-18,100,0,0,0.05,-5,-5,Re
445,Data,Stocks,USD,IGIC,2025-08-28,2025-08-29,2025-09-16,100,0,0,0.05,5,5,Po
446,Data,Stocks,USD,IGIC,2025-09-16,2025-08-29,2025-09-16,100,0,0,0.05,-5,-5,Re
447,Data,Stocks,USD,IGIC,2025-12-16,2025-12-17,2025-12-31,100,0,0,0.05,5,5,Po
448,Data,Stocks,USD,IGIC,2025-12-31,2025-12-17,2025-12-31,100,0,0,0.05,-5,-5,Re
449,Data,Stocks,USD,KINS,2025-08-08,2025-08-11,2025-08-26,150,0,0,0.05,7.5,7.5,Po
450,Data,Stocks,USD,KINS,2025-08-26,2025-08-11,2025-08-26,150,0,0,0.05,-7.5,-7.5,Re
451,Data,Stocks,USD,KINS,2025-11-07,2025-11-10,2025-11-26,150,0,0,0.05,7.5,7.5,Po
452,Data,Stocks,USD,KINS,2025-11-26,2025-11-10,2025-11-26,150,0,0,0.05,-7.5,-7.5,Re
453,Data,Stocks,USD,KINS,2026-02-10,2026-02-11,2026-02-26,150,0,0,0.05,7.5,7.5,Po
454,Data,Stocks,USD,KINS,2026-02-26,2026-02-11,2026-02-26,150,0,0,0.05,-7.5,-7.5,Re
455,Data,Stocks,USD,NVDA,2025-04-02,2025-03-12,2025-04-02,25,0,0,0.01,-0.25,-0.25,Re
456,Data,Stocks,USD,NVDA,2025-06-10,2025-06-11,2025-07-03,25,0,0,0.01,0.25,0.25,Po
457,Data,Stocks,USD,NVDA,2025-07-03,2025-06-11,2025-07-03,25,0,0,0.01,-0.25,-0.25,Re
458,Data,Stocks,USD,NVDA,2025-09-10,2025-09-11,2025-10-02,25,0,0,0.01,0.25,0.25,Po
459,Data,Stocks,USD,NVDA,2025-10-02,2025-09-11,2025-10-02,25,0,0,0.01,-0.25,-0.25,Re
460,Data,Stocks,USD,NVDA,2025-12-03,2025-12-04,2025-12-26,25,0,0,0.01,0.25,0.25,Po
461,Data,Stocks,USD,NVDA,2025-12-26,2025-12-04,2025-12-26,25,0,0,0.01,-0.25,-0.25,Re
462,Data,Stocks,USD,TKO,2025-06-12,2025-06-13,2025-06-30,12,0,0,0.38,4.56,4.56,Po
463,Data,Stocks,USD,TKO,2025-06-30,2025-06-13,2025-06-30,12,0,0,0.38,-4.56,-4.56,Re
464,Data,Stocks,USD,TKO,2025-09-12,2025-09-15,2025-09-30,12,0,0,0.76,9.12,9.12,Po
465,Data,Stocks,USD,TKO,2025-09-30,2025-09-15,2025-09-30,12,0,0,0.76,-9.12,-9.12,Re
466,Data,Stocks,USD,TKO,2025-12-12,2025-12-15,2025-12-30,12,0,0,0.78,9.36,9.36,Po
467,Data,Stocks,USD,TKO,2025-12-30,2025-12-15,2025-12-30,12,0,0,0.78,-9.36,-9.36,Re
468,Data,Stocks,USD,V,2025-05-12,2025-05-13,2025-06-02,3,0,0,0.59,1.77,1.77,Po
469,Data,Stocks,USD,V,2025-06-02,2025-05-13,2025-06-02,3,0,0,0.59,-1.77,-1.77,Re
470,Data,Stocks,USD,V,2025-08-11,2025-08-12,2025-09-02,3,0,0,0.59,1.77,1.77,Po
471,Data,Stocks,USD,V,2025-09-02,2025-08-12,2025-09-02,3,0,0,0.59,-1.77,-1.77,Re
472,Data,Stocks,USD,V,2025-11-11,2025-11-12,2025-12-01,3,0,0,0.67,2.01,2.01,Po
473,Data,Stocks,USD,V,2025-12-01,2025-11-12,2025-12-01,3,0,0,0.67,-2.01,-2.01,Re
474,Data,Stocks,USD,V,2026-02-09,2026-02-10,2026-03-02,3,0,0,0.67,2.01,2.01,Po
475,Data,Stocks,USD,V,2026-03-02,2026-02-10,2026-03-02,3,0,0,0.67,-2.01,-2.01,Re
476,Data,Total,,,,,,,0,0,,-0.26,-0.26,
477,Data,Ending Dividend Accruals in USD,,,,,,,,,,,0,
